category,text
0,japanese banking battle at an end japan s sumitomo mitsui financial has withdrawn its takeover offer for rival bank ufj holdings  enabling the latter to merge with mitsubishi tokyo.  sumitomo bosses told counterparts at ufj of its decision on friday  clearing the way for it to conclude a 3 trillion yen ($29bn) deal with mitsubishi. the deal would create the world s biggest bank with assets of about 189 trillion yen ($1.8 trillion). sumitomo s exit ends the most high profile fight in japanese bank history.  ufj holdings  japan s fourth-largest bank  has been at the centre of a fierce bid battle over the last year. sumitomo  japan s third-largest bank  tabled a higher offer for ufj than its rival  valuing the company at $35bn.  however  ufj s management was known to prefer the offer from mitsubishi tokyo financial group (mtfg)  japan s second-largest bank. concerns were also raised about sumitomo s ability to absorb ufj and the former has now admitted defeat.  we believe the market and most investors accept a ufj-mtfg merger   sumitomo said in a statement.  given the ongoing integration of ufj and mtfg operations  persisting with our proposal may not be in the best interests of our shareholders or ufj s.   mitsubishi s takeover of ufj - which will be japan s largest-ever takeover deal - will still have to be approved by shareholders of the two firms. however  this is expected to be a formality. sumitomo may now turn its attention to deepening its ties with daiwa securities  another japanese financial firm. the two are set to merge their venture capital operations and there has been speculation that this could lead to a full-blown merger. japanese banks are increasingly seeking alliances to boost profits.
1,bates seals takeover ken bates has completed his takeover of leeds united.  the 73-year-old former chelsea chairman sealed the deal at 0227 gmt on friday  and has bought a 50% stake in the club. he said:  i m delighted to be stepping up to the mantel at such a fantastic club. i recognise leeds as a great club that has fallen on hard times.  we have a lot of hard work ahead to get the club back where it belongs in the premiership  and with the help of our fans we will do everything we can.  bates bought his stake under the guise of a geneva-based company known as the forward sports fund. he revealed that part of his plan is to buy back leeds  elland road stadium and thorp arch training ground in due course.   it s going to be a tough jon and the first task is to stabilise the cash flow and sort out the remaining creditors   bates added.  but there is light at the end of a very long tunnel. for the past year it has been a matter of firefighting - now we can start running the club again.  outgoing leeds chairman gerald krasner said:  this deal ensures the medium to long term survival of the club and i believe mr bates  proposals are totally for the benefit of the club.  we are content that under mr bates  leeds united will continue to consolidate and move forward.  when we took over leeds united in march 2004  the club had a debt of Â£103m  since that date  my board has succeeded in reducing the debt to under Â£25m.  we worked tirelessly to solve all of the problems at leeds united.  eighty percent of the problems have already been overcome and we came to this agreement with mr bates to secure its ongoing success.  krasner revealed that his consortium has been asked to remain in the background at the club for an undisclosed period to help ensure a smooth hand-over. he will stay on in an unpaid capacity while peter lorimer will continue in his role as director and point of contact for the fans and peter mccormick will serve as a consultant to the incoming board. the other outgoing directors have agreed to leave their loans of Â£4.5m in the company for the next four years. on leeds  new-look board it is understood that lorimer will be joined by former chelsea finance director yvonne todd and bates  lawyer mark taylor.  krasner refused to give any details of the finances involved in the takeover. he told bbc five live:  i am not going into the figures. if ken wants to give them up that is up to him. i can not tell you what the money will be used for.  this dea l is not about money for the current board. in the last four months i never saw any cheques until this week from one person. i am not stretching figures  we don t discuss internal arrangements.  bates stepped down as chelsea chairman in march last year following roman abramovich s Â£140m takeover at stamford bridge. in may  he made a proposal to invest Â£10m in sheffield wednesday  but this was rejected by the club. sebastien sainsbury had been close to a takeover of leeds but withdrew his Â£25m offer last week.  his efforts failed after he revealed it would take Â£40m to stage a takeover  and that the club will also lose Â£10m over the next six months. the club was on the brink of administration - and the deduction of 10 points by the football league - before bates  arrival but his investment has spared them that prospect.
1,cole faces lengthy injury lay-off aston villa s carlton cole could be out for six weeks with a knee injury.  the striker  who is on a season-long loan from chelsea  picked up the knock in an england under-21 match against holland earlier this month.  carlton will be out of action for four to six weeks after a bad challenge   said villa boss david o leary.  i won t be able to tell you whether he will need an operation until maybe next week. whether he has an operation has got to be left to chelsea.  cole  who also struggled with an ankle problem earlier in the season  was unable to rest because o leary had a shortage of strikers. the return to fitness of darius vassell after four months out with a broken ankle and the emergence of luke moore has alleviated some of the villa s manager s problems in that department.
1,moya fights back for indian title carlos moya became the first man to successfully defend the chennai open title by beating four-times finalist paradorn srichaphan 3-6 6-4 7-6 (7/5).  the spaniard then donated his Â£28 000 prize money to relief efforts for the victims of the asian tsunami. the final was close throughout  with thai second seed srichaphan - the 2003 winner - closing out the first set. but moya took the second set  before bouncing back from 5-2 down in the decider to force and win a tie-break. moya confirmed afterwards:  i m donating my prize money from this tournament for the tsunami victims  hoping it makes some difference to their lives. his contribution follows pledges by four other players to donate their prize money from the tournament  which went ahead after the 26 december disaster which has so far claimed at least 150 000 lives. scrichapan said he would donate an unspecified amount for relief work in thailand  where more than 5 000 people were killed. the atp has announced that it would contribute the us$25 000 tournament fee to unicef s emergency relief fund in tamil nadu. the atp tour s sponsor  mercedes  said it would also contribute  increasing the atp donation to us$40 000.
0,insurance bosses plead guilty another three us insurance executives have pleaded guilty to fraud charges stemming from an ongoing investigation into industry malpractice.  two executives from american international group (aig) and one from marsh & mclennan were the latest. the investigation by new york attorney general eliot spitzer has now obtained nine guilty pleas. the highest ranking executive pleading guilty on tuesday was former marsh senior vice president joshua bewlay.  he admitted one felony count of scheming to defraud and faces up to four years in prison. a marsh spokeswoman said mr bewlay was no longer with the company. mr spitzer s investigation of the us insurance industry looked at whether companies rigged bids and fixed prices. last month marsh agreed to pay $850m (Â£415m) to settle a lawsuit filed by mr spitzer  but under the settlement it  neither admits nor denies the allegations .
0,german growth goes into reverse germany s economy shrank 0.2% in the last three months of 2004  upsetting hopes of a sustained recovery.  the figures confounded hopes of a 0.2% expansion in the fourth quarter in europe s biggest economy. the federal statistics office said growth for the whole of 2004 was 1.6%  after a year of contraction in 2003  down from an earlier estimate of 1.7%. it said growth in the third quarter had been zero  putting the economy at a standstill from july onward. germany has been reliant on exports to get its economy back on track  as unemployment of more than five million and impending cuts to welfare mean german consumers have kept their money to themselves. major companies including volkswagen  daimlerchrysler and siemens have spent much of 2004 in tough talks with unions about trimming jobs and costs. according to the statistics office  destatis  rising exports were outweighed in the fourth quarter by the continuing weakness of domestic demand.  but the relentless rise in the value of the euro last year has also hit the competitiveness of german products overseas. the effect has been to depress prospects for the 12-nation eurozone as a whole  as well as germany. eurozone interest rates are at 2%  but senior officials at the rate-setting european central bank are beginning to talk about the threat of inflation  prompting fears that interest rates may rise. the ecb s mandate is to fight rising prices by boosting interest rates - and that could further threaten germany s hopes of recovery.
1,federer claims dubai crown world number one roger federer added the dubai championship trophy to his long list of successes - but not before he was given a test by ivan ljubicic.  top seed federer looked to be on course for a easy victory when he thumped the eighth seed 6-1 in the first set. but ljubicic  who beat tim henman in the last eight  dug deep to secure the second set after a tense tiebreak. swiss star federer was not about to lose his cool  though  turning on the style to win the deciding set 6-3. the match was a re-run of last week s final at the world indoor tournament in rotterdam  where federer triumphed  but not until ljubicic had stretched him for five sets.  i really wanted to get off to a good start this time  and i did  and i could really play with confidence while he still looking for his rhythm   federer said.   that took me all the way through to 6-1 3-1 0-30 on his serve and i almost ran away with it. but he came back  and that was a good effort on his side.  ljubicic was at a loss to explain his poor showing in the first set.  i didn t start badly  but then suddenly i felt like my racket was loose and the balls were flying a little bit too much. and with roger  if you relax for a second it just goes very quick   he said.  after those first three games it was no match at all. i don t know  it was really weird. i was playing really well the whole year  and then suddenly i found myself in trouble just to put the ball in the court.  but despite his defeat  the world number 14 was pleased with his overall performance.  i had a chance in the third  and for me it s really positive to twice in two weeks have a chance against roger to win the match.  it s an absolutely great boost to my confidence that i m up there and belong with top-class players.
0,house prices show slight increase prices of homes in the uk rose a seasonally adjusted 0.5% in february  says the nationwide building society.  the figure means the annual rate of increase in the uk is down to 10.2%  the lowest rate since june 2001. the annual rate has halved since august last year  as interest rises have cooled the housing market. at the same time  the number of mortgage approvals fell in january to a near 10-year low  official bank of england figures have shown.  nationwide said that in january house prices went up by 0.4% on the month and by 12.6% on a year earlier.  we are not seeing the market collapsing in the way some had feared   said nationwide economist alex bannister. there have been a number of warnings that the uk housing market may be heading for a downturn after four years of strong growth to 2004. in november  barclays  which owns former building society the woolwich  forecast an 8% fall in property prices in 2005  followed by further declines in 2006 and 2007. and last summer  economists at pricewaterhousecoopers (pwc) warned house prices were overvalued and could fall by between 10% and 15% by 2009.  the price of an average uk property now stands at Â£152 879. homeowners now expect house prices to rise by 1% over the next six months  mr bannister said. he said if the growth continued at this level then the bank of england may increase interest rates from their current 4.75%.   i think the key is what the bank expects to happen to the housing market. we always thought we would see a small rise  they thought they would see a small decline.  house prices have risen 0.9% this year  nationwide said  and if this pace of increase persists  prices would rise by just under 6% in the year to december. this is slightly above the 0-5% range nationwide predicts.  further evidence of a slowdown in the housing market emerged from bank of england lending figures released on tuesday. new mortgage loans in january fell to 79 000 from 82 000 in december  the bank said. the past few months have seen approvals fall to levels last seen in 1995. the bank revealed that 48 000 fewer mortgages were approved in january than for the same month in 2004. overall  mortgage lending rose by Â£7.2bn in january  marginally up on the Â£7.1bn rise in december.
1,disappointed scott in solid start allan scott is confident of winning a medal at next week s european indoor championships after a solid debut on the international circuit.  the 22-year-old scot finished fourth in the 60m hurdles at the jose m cagigal memorial meeting in madrid.  it was definitely a learning curve and i certainly haven t ruled out challenging for a medal next week   said the east kilbride athlete. the race was won by felipe vivancos  who equalled the spanish record.  sweden s robert kronberg was second  with haiti s dudley dorival in third. scott was slightly disappointed with his run in the final. he won his heat in 7.64secs but ran 0.04secs slower in his first iaaf indoor grand prix circuit final.  i should have done better than that   he said.  i felt i could have won it. i got a poor start - but i still felt i should have ran faster.  vivancos slashed his personal best to equal the spanish record with a time of 7.60secs while kronberg and dorival clocked 7.62secs and 7.63secs respectively.
0,stock market eyes japan recovery japanese shares have ended the year at their highest level since 13 july amidst hopes of an economic recovery during 2005.  the nikkei index of leading shares gained 7.6% during the year to close at 11 488.76 points. in 2005 it  will rise toward 13 000   predicted morgan stanley equity strategist naoki kamiyama. the optimism in the financial markets contrast sharply with pessimism in the japanese business community. earlier this month  the quarterly tankan survey of japanese manufacturers found that business confidence had weakened for the first time since march 2003.  slower economic growth  rising oil prices  a stronger yen and weaker exports were blamed for the fall in confidence. despite this  traders expect strength in the global economy to benefit japan  which has been close to sliding into recession in recent months. structural reform within japan and an anticipated end to the banking sector s bad debt problems should also help  they say.
1,lewsey puzzle over disallowed try england s josh lewsey has claimed he was denied a late try in his side s six nations loss to ireland.  the wasps wing insisted he grounded the ball when he was bundled over the line and said referee jonathan kaplan had made a wrong decision.  i m positive i touched the ball down over the line   lewsey told bbc sport.  it certainly wasn t a turnover.  i was driven over and i put the ball on the ground. the whistle went and i let go of the ball.  lewsey added:  one of the irish players scooped it back after the whistle and to our surprise the referee then gave a turnover.  as far as i m concerned  that incident and mark cueto s effort from charlie hodgson s cross-field kick that led to what looked like a good try were the two key elements in the game.   cueto was also puzzled as to why his try had been disallowed by kaplan.  i don t think i could have been offside for  without a doubt  i was behind the ball   said the sale player.  the move was a planned technique  it was not off the cuff. we rehearse it time and time again.  i wouldn t say we were robbed  some decisions go with you and some go against you. today they went against us and that s tough at international level.
0,standard life cuts policy bonuses standard life  europe s largest mutual life insurer  has cut bonuses for with-profit policyholders.  annual bonus rates on its with-profits life policies were cut from 2.5% to 2%  while bonuses on pension policies were reduced from 3.25% to 2.5%. it is the sixth time in three years standard life has made cuts to bonus rates  despite an 8.7% rise in the value of the with-profits fund in 2004. the insurer blamed the cuts on poor share returns and low interest rates.  with-profits policies are designed to smooth out the peaks and troughs of stock market volatility. profits made in good years are kept in reserve to pay investors an annual bonus even when the stock market performs badly. slumping share prices throughout 2001 and 2002 forced most firms to trim bonus rates on their policies. standard life came in for criticism for sticking with stock market investments during 2001 and 2002. the insurer argued that shares outperformed other investments over the long term and that policyholders would feel the benefit when the stock market recovered. recently  norwich union and axa sun life both cut their with-profit bonus rates.  john gill  managing director of the insurer s life and pensions division  said that a strong stock market recovery in the past two years had only  partly compensated for losses during 2001 and 2002 . in addition  low interest rates meant that  long-term investment returns are well below historic levels   mr gill added. however  mr gill maintained that with-profits continued to perform well over the long term.  our payouts continue to stand up well against other types of long-term investments over similar periods   he said. standard life has an estimated 2.4 million with-profits policyholders. last year  the company announced that it was looking to float on the stock market in 2006.
0,pernod takeover talk lifts domecq shares in uk drinks and food firm allied domecq have risen on speculation that it could be the target of a takeover by france s pernod ricard.  reports in the wall street journal and the financial times suggested that the french spirits firm is considering a bid  but has yet to contact its target. allied domecq shares in london rose 4% by 1200 gmt  while pernod shares in paris slipped 1.2%. pernod said it was seeking acquisitions but refused to comment on specifics.  pernod s last major purchase was a third of us giant seagram in 2000  the move which propelled it into the global top three of drinks firms. the other two-thirds of seagram was bought by market leader diageo. in terms of market value  pernod - at 7.5bn euros ($9.7bn) - is about 9% smaller than allied domecq  which has a capitalisation of Â£5.7bn ($10.7bn; 8.2bn euros). last year pernod tried to buy glenmorangie  one of scotland s premier whisky firms  but lost out to luxury goods firm lvmh. pernod is home to brands including chivas regal scotch whisky  havana club rum and jacob s creek wine. allied domecq s big names include malibu rum  courvoisier brandy  stolichnaya vodka and ballantine s whisky - as well as snack food chains such as dunkin  donuts and baskin-robbins ice cream. the wsj said that the two were ripe for consolidation  having each dealt with problematic parts of their portfolio. pernod has reduced the debt it took on to fund the seagram purchase to just 1.8bn euros  while allied has improved the performance of its fast-food chains.
1,rovers reject third ferguson bid blackburn have rejected a third bid from rangers for scotland captain barry ferguson  bbc sport has learnt.  it is thought blackburn want Â£6m for the midfielder but chief executive john williams has confirmed the club are still  in dialogue  with rangers. the 26-year-old has already handed in a transfer request at ewood park as he seeks a return to ibrox. but the clubs have been unable to reach agreement over a fee for ferguson  who moved to lancashire in 2003 for Â£6.5m. on thursday rangers said they would not be increasing their offer of Â£4m.  blackburn have said all along that they want Â£6m for the midfielder and williams has rejected proposals from rangers over a player-swap deal. williams said:  we are in dialogue with glasgow rangers but we have no agreement.  the negotiations will have to be concluded by midnight on monday  when the winter transfer window shuts. williams conceded any deal for ferguson was looking  unlikely  before the close of the transfer window but rangers still had a chance to seal the deal.  we have no comment to make other than we have not got an agreement with glasgow rangers   he added.  the way things are looking  i think it is unlikely we are going to.  the ball is in their court but we have not got an offer that is acceptable at this moment.  it is understood that blackburn accepted a Â£5m offer for ferguson from everton at the weekend. but the player is determined to return to scotland and rejected a move to goodison park. ferguson did not play in the fa cup win over colchester on saturday despite recovering from a groin injury with rovers boss mark hughes claiming it had been an  emotional and difficult time  for the player.
0,ukraine trims privatisation check ukraine is to review  dozens  of state asset sales as the country s new administration tackles corruption.  the figure announced by president viktor yushchenko is less than the 3 000 cases mentioned last week  but will cover many of the biggest deals. ukraine recently ousted long-serving leader leonid kuchma and has said it wants closer european union links. in a separate statement  the eu said that the us should back ukraine s entry into the world trade organisation. the comments came as viktor yushchenko prepared to head to brussels to meet with us president george w bush and other north atlantic treaty organisation (nato) leaders. he is the only non-nato member leader invited to attend the summit.  mr yushchenko recently defeated moscow-backed presidential candidate and prime minister viktor yanukovych at the polls  and has made no secret of his wish to fight corruption and make ukraine more transparent.  earlier this month  new prime minister yulia tymoshenko said as many as 3 000 firms may have their privatisations put under the spotlight. her comments raised concerns among a number of investors and mr yushchenko was seen on monday as trying to soothe their frayed nerves.  we acknowledge that business in ukraine is now shaped and 98% of privatisations were carried out according to the law   mr yushchenko said on monday.  we have trust in this business and want to defend it by law   he continued  adding that any review would focus on  dozens of companies  not hundreds or thousands . he cited last year s sale of ukrainian steel producer krivorizhstal as one that had raised concerns. it was sold in june 2004 to a consortium that included viktor pinchuk  son-in-law of former-president kuchma  and rinat akhmetov  the country s richest man  for $800m (Â£424m) - despite other higher offers.  vice-prime minister oleg rybachuk called on the eu to recognise the steps that ukraine was taking  fearing that should the country not be rewarded for its efforts there may be a backlash against closer relations with brussels. he said that while he understood that ukraine was not ready for eu membership  the country needed to see progress on topics such as trade and visa requirements.  we deserve an honest response   mr rybachuk told the associated press in an interview.  we understand the difficulties. we refuse to understand double standards.  ukraine may find it has a sympathetic ear in brussels  the eu has reiterated that we support (ukraine s) fast accession to the wto and if possible we would like that to happen some time during the year   said claude veron-reville  a spokesman for eu trade commissioner peter mandelson.  we have said as much to the americans. we feel that it is important for us all to pull together for ukraine to be allowed into the wto. mr yushchenko was careful not to turn his back on russia  which borders the country to the east  saying it was important to maintain  pragmatic  ties with moscow.  russia is ukraine s eternal strategic partner   mr yushchenko said.
